FCLTY_NM,CTPRVN_NM,FCLTY_TY_NM,PROGRM_NM,FCLTY_ADDR,latitude,longitude,PROGRM_TY_NM
중곡문화체육센터,서울특별시,생활체육관,[특화]바른자세&다이어트 위한 발레 피트니스 A,서울특별시 광진구 능동로 433 (중곡동),37.5678607,127.0849273,"건강문화[1개월과정], 토요강좌, 생활체육[1개월과정], 헬스프로그램, 문화강좌"
진접체육문화센터,경기도,생활체육관,실내체육관 실내체육관/성인   진접체육문화센터 실내체육관-실내체육관/성인 10/A탁구(월수금/김성희)   진접체육문화센터 실내체육관-실내체육관/성인 10/A탁구(월수금/김성희) 실내체육관_건강주3회(성인) 실내체육관_건강주3회(성인),경기도 남양주시 진접읍 금강로 1509-24,37.7271077,127.1897584,"건강강좌, 실내체육관, 30분순환운동"
천안국민체육센터,충청남도,생활체육관,월수금반16시,충청남도 천안시 서북구 번영로 208 (백석동),36.8188164,127.1151481,No Data
천안축구센터,충청남도,축구장,초등1학년(목요일),충청남도 천안시 서북구 축구센터로 150 (성정동),36.8211395,127.1466999,No Data
청담평생학습관골프연습장,서울특별시,골프연습장,골프저녁08,강남구 청담동35-10,37.5191161,127.0464574,No Data
충무아트홀스포츠센터수영장,서울특별시,수영장,건강수영G,서울특별시 중구 퇴계로 387(흥인동),37.5659304,127.0148052,No Data
충주국민체육센터수영장,충청북도,수영장,09시 오전2반 중급[화목],충청북도 충주시 중원대로 3306 (호암동),36.9627192,127.9269064,No Data
탄천스포츠센터,경기도,구기체육관,[07시] 기간수료_연수반_주4회,경기도 성남시 분당구 탄천로 215 (야탑동),37.4102033,127.1212797,"50M기간수료제수영, 요가, 헬스, 한국무용, 핏밸런스, 필라테스, 탁구, 여성건강교실, 에어로빅, 어린이성장체조, 아쿠아로빅, 스트레칭(강습, 에어로빅장), 스쿼시(월자유), 스쿼시, 스케이트(강습_피겨), 스케이트(강습_스피드), 살사댄스, 배드민턴(개인강습), 배드민턴, 발레핏, 라지볼(강습), 라인댄스, 댄스스포츠(강습)_에어로빅장, 댄스스포츠(강습)_다목적강습실, 단전호흡(국선도), 농구, 기구필라테스, 골프, 검도, 50M수영(월자유), 50M수영, 어린이(수영)"
탄천종합운동장 체육회관 수영장,경기도,수영장,[11시] 1개월차_기초반(대기)_주4회,분당구야탑동 탄천로 215,,,"50M수영, 50M수영(월자유), 어린이(수영), 50M기간수료제수영"
탄천종합운동장체육회관빙상장,경기도,빙상장,[17시] 스피드 (토),야탑동 486번지,37.4104367,127.1206569,"스케이트(강습_피겨), 스케이트(강습_스피드)"
태전국민체육센터-생활체육관,경기도,생활체육관,07시/A_모닝힐링요가[다목적1실],경기도 광주시 벼루개길42번길 20 (태전동),37.3813467,127.2331108,"다목적실프로그램, 헬스프로그램"
평생학습관,충청남도,생활체육관,기초배드민턴(오후),충청남도 아산시 남부로 92 (용화동),36.7709276,126.9921971,건강/스포츠
평생학습관 수영장,경기도,수영장,14시 월수금 아쿠아로빅,경기도 의왕시 오전로 122 (오전동),37.3550512,126.9754516,No Data
포항국민체육센터,경상북도,생활체육관,(※!추첨제)에어로빅오후반,경상북도 포항시 북구 양학로 166 (학잠동),36.0354837,129.3415271,No Data
포항생활야구장,경상북도,야구장,리틀야구장(일요일),경상북도 포항시 남구 중흥로162번길 42-4 (상도동),36.0163823,129.3583749,No Data
포항실내수영장,경상북도,수영장,F5.오전_심화반(11시00분),경상북도 포항시 남구 희망대로 810 (대도동),36.0086103,129.3638275,"수영강습프로그램, 월자유수영"
해동이국민체육센터,경상남도,생활체육관,"(新)11시30분 아쿠아로빅[화,목]",경상남도 김해시 삼계로 132 (삼계동),35.2583233,128.8803631,No Data
해오름휘트니스센터,서울특별시,생활체육관,해오름 헬스,"서울특별시 성북구 성북로4길 52 (돈암동, 한신한진아파트)",37.5958787,127.0104756,"헬스, 스포츠문화교실"
호평체육문화센터,경기도,생활체육관,파워엘빅D 성인(주3회),경기도 남양주시 늘을2로 67 (호평동),37.6588611,127.242293,"건강(1개월), 헬스, 기구필라테스, 스피닝, 체육"
화도체육문화센터,경기도,생활체육관,여성건강공요가 주3회(성인),경기도 남양주시 화도읍 수레로 1259,37.6496462,127.3012197,"건강강좌, 점핑피트니스, 기구필라테스, 생활체육, 헬스"
화성국민체육센터 체육시설,경기도,기타시설,06B 새벽반_마스터(15개월기간수료),경기도 화성시 봉담읍 동화길 18,37.2207526,126.9516667,No Data
환경에너지시설내테니스장,경기도,테니스장,테니스(화목)-단체오후2반 화목15:00~15:50,경기도 고양시 일산동구 경의로 115 (백석동),37.6433289,126.7961586,테니스
환경에너지시설수영장,경기도,수영장,"수영(화목)-오전4반(기초,초급) 화목10:00~10:50",경기도 고양시 일산동구 경의로 84 (백석동),37.6410814,126.7951562,"수영, 자유수영"
황새울국민체육센터,경기도,생활체육관,"헬스_월,화,수,목,금_15시30분",경기도 성남시 분당구 황새울로 273(수내동),37.382543,127.116739,"필라테스, 수영, 요가, 다목적체육관, 헬스, 아쿠아로빅"
흑석체육센터,서울특별시,생활체육관,체육관 배드민턴   흑석체육센터 체육관-배드민턴 배드민턴개인레슨회원체육관비용결제/민턴개인레슨결제회원 체육관사용료(성인)   흑석체육센터 체육관-배드민턴 배드민턴개인레슨회원체육관비용결제/민턴개인레슨결제회원 체육관사용료(성인),서울특별시 동작구 현충로 73 (흑석동),37.5100566,126.963469,"체육관, 기구필라테스, 트램폴린, 서킷나이트, 다목적실, 헬 스, 퍼스널"
