FCLTY_NM,CTPRVN_NM,FCLTY_TY_NM,PROGRM_NM,FCLTY_ADDR,latitude,longitude,PROGRM_TY_NM
사당문화회관수영장,서울특별시,수영장,[19시월수]상급반/양팔접영이상/중등생~성인 *성인수영(월수),사당동 248-6,37.4847259,126.9696277,"강습수영(단체), 1:7소수정예(특화), 아쿠아로빅(금요일)/추첨제, 아쿠아로빅(주2회)/추첨제, 아쿠아 핏(특화)"
사하구국민체육센터,부산광역시,생활체육관,09시 다이어트댄스,부산광역시 사하구 감천로 68 (감천동),35.0895016,128.9988349,No Data
삼각산문화예술회관수영장(구.강북구민회관수영장),서울특별시,수영장,저녁수영 19시 [월수금] 신규,서울특별시 강북구 삼각산로 85 (수유동),37.6408544,127.0133421,No Data
서대문체육회관수영장,서울특별시,수영장,아쿠아_토_13시,홍은3동 산26-155,,,No Data
서부산권장애인스포츠센터,부산광역시,생활체육관,18시 직장인수영[월수금]_고급,부산광역시 사하구 낙동남로1233번길 20 (하단동),35.1094432,128.9469,No Data
서울여성능력개발원수영장,서울특별시,기타시설,S13오후3시수영강습,서울특별시 광진구 아차산로30길 36 (자양동),37.5394028,127.0667178,No Data
서재문화체육센터,대구광역시,생활체육관,(20)요가테스(주3회),대구광역시 달성군 다사읍 다사로 750,35.8842881,128.5032013,"GX프로그램, 탁구"
선학국제빙상경기장,인천광역시,빙상장,일)14시~16시스피드_기초반(신규모집),인천광역시 연수구 경원대로 526 (선학동),37.4309078,126.7018293,정규강습프로그램
성동구립용답체육센터 수영장,서울특별시,수영장,저녁수영19-C,서울특별시 성동구 천호대로78길 15-48(용답동),37.5618304,127.057059,"소그룹 수영, 수영"
성동구민종합체육센터수영장,서울특별시,수영장,아쿠아테라피14C,성수1가 685-20,,,"소그룹 수영교실, 수영, 생존수영"
성북구민체육관,서울특별시,생활체육관,"자율탁구(월,수,금)",서울특별시 성북구 화랑로13길 144 (하월곡동),37.6086213,127.0423063,"스포츠문화교실, 헬스, 체육관"
성북종합레포츠타운수영장,서울특별시,수영장,월자유수영18A,서울특별시 성북구 한천로58길 307 (석관동),37.61021,127.0700052,수영
성서국민체육센터,대구광역시,수영장,수영,대구광역시 달서구 선원로 133 (이곡동),35.8615739,128.5058644,No Data
소사국민체육센터,경기도,생활체육관,10시 수영 월수금 연수B,경기도 부천시 소사로 108 (소사본동),37.4684543,126.7983776,No Data
속초국민체육센터,강원특별자치도,수영장,새벽수영고급반(B),강원특별자치도 속초시 조양로 89 (조양동),38.1866803,128.5908199,"수영, 에어로빅, 필라테스, 요가"
송도스포츠센터수영장,부산광역시,수영장,"\ (화목)""",부산광역시 서구 송도해변로 121 (암남동),35.0780719,129.0201148,수영프로그램
수영구 국민체육센터,부산광역시,기타시설,월자유수영A_16 16시,부산광역시 수영구 수영로521번길 77 (광안동),35.1529382,129.1074595,"수영, 헬스, 체육프로그램, 요가, 필라테스, 댄스프로그램"
수영구 스포츠클럽,부산광역시,생활체육관,07필라테스 월~금,부산광역시 수영구 광남로257번길 12 (민락동),35.160864,129.1269854,"필라테스(본관), 댄스(본관), 배드민턴(본관), 어린이 수영선수반(본관), 근력스트레칭(별관), 벨리댄스(별관), 라인댄스(별관), 댄스스포츠(별관), 헬스(본관), 요가(본관)"
수원시체육회관,경기도,기타시설,"성인C_상급(교정,핀)",경기도 수원시 장안구 정조로 998 (조원동),37.2960881,127.0092722,"성인수영, 어린이수영, 자유수영, 헬스, 아쿠아로빅, 골프, 파워댄스로빅"
수원청소년문화센터,경기도,구기체육관,토-가족주말인라인B(청소년),경기도 수원시 팔달구 권광로 293 (인계동),37.2739402,127.0349868,체육관
신도림생활체육관,서울특별시,생활체육관,20 골프정기권_A,서울특별시 구로구 경인로67길 149 (신도림동),37.5137813,126.883235,통합
신림체육센터,서울특별시,생활체육관,줌바댄스A,서울특별시 관악구 난곡로58길 13 (신림동),37.4800726,126.9160396,"문화/취미교육, 에어로빅, 헬스클럽"
신월문화체육센터수영장,서울특별시,수영장,오전10시A[접영이상],충청북도 제천시 신월동   987,37.1595563,128.1799268,수영
아차산배수지인조잔디축구장,서울특별시,축구장,축구교실 초등반B(월요일),서울특별시 광진구 천호대로 731 (구의동),37.5489665,127.0965158,축구교실
양천구민체육센터수영장,서울특별시,수영장,어린이소그룹수영18B(성인풀강습),신정동322-10,37.5163872,126.8646048,수영
여성문화회관 수영장,인천광역시,수영장,12월-아쿠아로빅1,인천광역시 부평구 길주로 539 (갈산동),37.5080681,126.7225181,수영
