Score,Rank,Percentile
534.8292244911123,427.0,9.985968194574369
529.5234244911123,804.0,18.802619270346117
509.1858244911123,3078.0,71.98316183348923
515.2532256764133,2450.0,57.29653882132835
529.6432256764133,793.0,18.545369504209543
520.8967744911124,1739.0,40.6688493919551
515.3483244911124,2436.0,56.96913002806361
523.4632256764133,1450.0,33.91019644527596
526.5622744911124,1098.0,25.678203928905518
524.7425744911124,1293.0,30.238540692235734
531.0582256764134,671.0,15.69223573433115
521.9380244911124,1605.0,37.53507951356408
516.1107244911124,2346.0,54.864359214218894
515.1932256764134,2458.0,57.483629560336766
514.7090244911124,2505.0,58.58278765201123
518.7873490070979,2010.0,47.00654817586529
514.5638744911123,2516.0,58.84003741814781
524.4425744911124,1339.0,31.314312441534142
530.8072244911124,685.0,16.019644527595883
527.9313004905939,954.0,22.310570626753975
517.0491244911124,2241.0,52.4087932647334
529.7032256764134,786.0,18.381665107577174
506.54537449111234,3336.0,78.01683816651077
526.657121785104,1088.0,25.444340505144996
522.6055244911124,1532.0,35.827876520112255
552.5546221001412,12.0,0.2806361085126286
513.5614744911123,2607.0,60.968194574368574
540.2246221001411,207.5,4.85266604303087
511.9532256764134,2774.0,64.87371375116932
512.3193244911124,2737.0,64.00841908325538
503.87327449111245,3544.0,82.88119738072966
524.9065587998416,1276.0,29.84097287184284
519.2750744911124,1946.0,45.50982226379794
535.4440945966979,390.0,9.12067352666043
509.9632256764134,2989.0,69.90177736202058
525.0832256764133,1258.0,29.420018709073904
512.7640744911124,2696.0,63.049579045837234
544.9536826269272,91.0,2.1281571562207673
549.168187037327,32.0,0.7483629560336763
514.8812244911123,2482.0,58.04490177736202
518.5322244911124,2038.0,47.661365762394766
512.7478004905939,2699.0,63.11973807296539
520.257733754875,1823.0,42.633302151543504
501.94776370664255,3677.0,85.99158091674462
517.5677637066425,2174.0,50.84190832553789
510.80276370664257,2907.5,67.99579045837231
512.0582256764134,2769.0,64.75678203928905
538.6132256764133,251.0,5.869971936389149
521.5708244911124,1657.0,38.7511693171188
517.2421744911123,2212.0,51.73058933582788
497.31276370664256,3893.0,91.04303086997194
494.1182256764134,3997.0,93.47521047708139
496.2327637066425,3932.0,91.95509822263797
508.7327637066425,3117.0,72.89522918615529
515.6127637066426,2403.0,56.19738072965388
495.93276370664256,3949.0,92.35266604303088
504.58776370664265,3495.0,81.73526660430309
519.4827637066426,1929.0,45.11225444340505
523.4877637066426,1446.0,33.816651075771745
520.1238490808722,1843.0,43.101028999064546
538.5827637066425,253.0,5.9167446211412535
540.9077637066425,189.0,4.420018709073901
519.1627637066425,1966.0,45.977549111318986
514.5327637066425,2520.0,58.93358278765201
497.67276370664257,3879.0,90.7156220767072
524.2427637066424,1358.0,31.75865294667914
517.9927637066424,2114.0,49.438727782974745
522.3627637066426,1562.0,36.52946679139383
520.0402637066425,1856.0,43.40505144995323
508.2277637066425,3168.0,74.08793264733396
525.2367624603647,1235.0,28.882132834424695
510.7477637066425,2917.0,68.21796071094481
517.1227637066426,2230.0,52.15154349859682
524.3887624603648,1345.0,31.454630495790457
515.2882945966979,2443.0,57.13283442469598
502.30276370664245,3660.0,85.59401309635173
523.5077637066424,1443.0,33.746492048643596
516.6277637066426,2295.0,53.67165575304023
507.03776370664247,3301.0,77.19831618334892
508.31276370664256,3157.0,73.83068288119739
493.9127637066426,4006.0,93.68568755846586
518.4227637066425,2047.0,47.871842843779234
505.3977637066426,3426.0,80.12160898035548
522.1777637066425,1585.0,37.06735266604303
490.31276370664256,4099.0,95.86061739943872
511.31776370664255,2853.0,66.72123479887746
501.9077637066426,3679.0,86.03835360149674
505.3677637066425,3429.0,80.19176800748363
505.19276370664255,3446.0,80.58933582787652
507.69776370664255,3226.0,75.444340505145
505.32776370664254,3433.0,80.28531337698784
506.59276370664253,3332.0,77.92329279700655
538.1949490070979,263.0,6.1506080449017775
524.6018881652749,1314.0,30.729653882132833
507.09033816527494,3296.0,77.08138447146867
498.3245761955041,3849.0,90.01403180542563
524.3401163674034,1349.0,31.54817586529467
510.2130761955041,2962.0,69.27034611786716
529.0731326269271,844.0,19.738072965388213
530.1662504905938,739.0,17.282507015902713
502.80272619550414,3622.0,84.70533208606173
502.1722261955041,3667.0,85.7577174929841
521.144676195504,1708.0,39.943872778297475
518.5208401988006,2039.0,47.68475210477081
495.5785261955041,3964.0,92.70346117867166
517.7726761955041,2143.0,50.11693171188026
502.4160261955041,3646.0,85.26660430308701
504.88757619550415,3473.0,81.22076707202993
497.37462619550405,3889.0,90.94948550046773
521.1275826269269,1710.0,39.99064546304958
525.125926195504,1249.0,29.20954162768943
499.3134468378989,3811.0,89.12535079513563
536.4937004905939,325.0,7.600561272217026
535.3079326269271,395.0,9.237605238540693
532.8536848777284,551.0,12.885874649204865
518.6735992885474,2021.0,47.26379794200187
503.4476261955041,3576.0,83.62956033676333
523.224133754875,1474.0,34.47146866230121
525.089083754875,1257.0,29.39663236669785
543.315532626927,125.0,2.9232927970065483
515.7007337548749,2391.0,55.916744621141255
472.75322567641336,4270.0,99.85968194574369
524.739676195504,1294.0,30.261927034611784
522.909726195504,1498.0,35.032740879326475
506.1038761955041,3374.0,78.90551917680075
523.9032629030326,1394.0,32.60056127221703
529.262126195504,826.0,19.31711880261927
518.5710102775583,2033.0,47.544434050514504
500.4933761955041,3742.0,87.51169317118801
506.0081761955041,3380.0,79.04583723105706
526.897426195504,1056.0,24.69597754911132
513.5149541426313,2614.0,61.13189897100093
512.647276195504,2707.0,63.3068288119738
514.257226195504,2536.0,59.30776426566885
